,name,address,latitude,longitude,categories
0,Berry Basketball Courts,"Berry St (I-280), San Francisco, CA 94158",37.77208,-122.397686,Basketball Court
1,Soma Rec Center,"6TH St (Folsom Street), San Francisco, CA 94109",37.778838,-122.406328,Basketball Court
2,NBA Nation,"20TH St, San Francisco, CA 94110",37.759168,-122.412335,Basketball Court
3,Alice Marble Basketball Court,"2201 Hyde St (at Greenwich), San Francisco, CA 94109",37.801449,-122.420352,Basketball Court
