,name,address,latitude,longitude,categories
0,Plant B,"60 Morris St, San Francisco, CA 94107",37.776757,-122.402764,Vegan and Vegetarian Restaurant
1,RawDaddy's Fun Cone Food,"1025 Market St, San Francisco, CA 94103",37.781373,-122.410779,Vegan and Vegetarian Restaurant
